Starstreak          :Starstreak
Clean Sweep         :CleanSweep
Coriander Cumin     :CorianderCumin
Sea Swirl           :SeaSwirl
Compass Star        :CompassStar
Cloudchaser         :Cloudchaser
Comb Over           :CombOver
Twilight Sparkle    :TwilightSparkle
Banana Fluff        :BananaFluff
Applejack           :Applejack
Wild Fire           :WildFire
Cherry Fizzy        :CherryFizzy
Sunny Daze          :SunnyDaze
Wheat Grass         :WheatGrass
Non pony 13         :Nonpony13
Vinyl Scratch       :VinylScratch
Maud Pie            :MaudPie
Sunburst            :Sunburst
Prince Blueblood    :PrinceBlueblood
Silver Spanner      :SilverSpanner
Crusoe Palm         :CrusoePalm
Quick Trim          :QuickTrim
Lotus Blossom       :LotusBlossom
Sunshower           :Sunshower
Orange Swirl        :OrangeSwirl
Daisy               :Daisy
Sunny Rays          :SunnyRays
Dumb-Bell           :DumbBell
Goldengrape         :Goldengrape
Soarin              :Soarin
Zipporwhill         :Zipporwhill
Toe Tapper          :ToeTapper
Night Glider        :NightGlider
Star Swirl          :StarSwirl
Beauty Brass        :BeautyBrass
Marble Pie          :MarblePie
Tree Hugger         :TreeHugger
Bulk Biceps         :BulkBiceps
Uncle Orange        :UncleOrange
Lightning Dust      :LightningDust
Non pony 4          :Nonpony4
Time Turner         :TimeTurner
Berryshine          :Berryshine
Gladmane            :Gladmane
Timber Spruce       :TimberSpruce
Coconut Cream       :CoconutCream
Rainbowshine        :Rainbowshine
Sonata Dusk         :SonataDusk
Non pony 14         :Nonpony14
Equality            :Equality
Braeburn            :Braeburn
Parasol             :Parasol
Shining Armor       :ShiningArmor
Trenderhoof         :Trenderhoof
