Starstreak        :Starstreak
NeonBrush         :Neon Brush
CleanSweep        :Clean Sweep
CorianderCumin    :Coriander Cumin
SeaSwirl          :Sea Swirl
CompassStar       :Compass Star
Cloudchaser       :Cloudchaser
CombOver          :Comb Over
TwilightSparkle   :Twilight Sparkle
BananaFluff       :Banana Fluff
Applejack         :Applejack
WildFire          :Wild Fire
CherryFizzy       :Cherry Fizzy
SunnyDaze         :Sunny Daze
WheatGrass        :Wheat Grass
Nonpony13         :Non-pony 13
VinylScratch      :Vinyl Scratch
MaudPie           :Maud Pie
Sunburst          :Sunburst
PrinceBlueblood   :Prince Blueblood
SilverSpanner     :Silver Spanner
CrusoePalm        :Crusoe Palm
QuickTrim         :Quick Trim
LotusBlossom      :Lotus Blossom
Sunshower         :Sunshower
OrangeSwirl       :Orange Swirl
Daisy             :Daisy
SunnyRays         :Sunny Rays
DumbBell          :Dumb-Bell
Goldengrape       :Goldengrape
Soarin            :Soarin
Zipporwhill       :Zipporwhill
ToeTapper         :Toe Tapper
NightGlider       :Night Glider
StarSwirl         :Star Swirl
BeautyBrass       :Beauty Brass
MarblePie         :Marble Pie
TreeHugger        :Tree Hugger
BulkBiceps        :Bulk Biceps
UncleOrange       :Uncle Orange
LightningDust     :Lightning Dust
Nonpony4          :Non-pony 4
TimeTurner        :Time Turner
Berryshine        :Berryshine
Gladmane          :Gladmane
TimberSpruce      :Timber Spruce
CoconutCream      :Coconut Cream
Rainbowshine      :Rainbowshine
SonataDusk        :Sonata Dusk
Nonpony14         :Non-pony 14
Equality          :Equality
Braeburn          :Braeburn
Parasol           :Parasol
ShiningArmor      :Shining Armor
Trenderhoof       :Trenderhoof
